"RecID","year","fn_code","fn_number","cabin_class","DEPARTURE_AIRPORT","ARRIVAL_AIRPORT","Anzahl.Flugsegmente","currencies","EMISSIONS_KGCO2EQ","dep_lat","dep_lon","dep_country","arr_lat","arr_lon","arr_country","distance_km","kgCO2km"
125,2020,"LX",1267,"business","CPH","ZRH",1,"USD",300,55.61790085,12.65600014,"DK",47.458056,8.548056,"CH",951.4165522,0.315319299
126,2020,"LX",1272,"business","ZRH","CPH",1,"USD",300,47.458056,8.548056,"CH",55.61790085,12.65600014,"DK",951.4165522,0.315319299
127,2020,"LX",3559,"business","VIE","ZRH",1,"USD",300,48.110298,16.5697,"AT",47.458056,8.548056,"CH",604.1010393,0.496605668
128,2020,"UA",9726,"business","ZRH","ORD",1,"USD",2600,47.458056,8.548056,"CH",41.9786,-87.9048,"US",7139.060971,0.364193556
129,2020,"UA",9727,"business","ORD","ZRH",1,"USD",2600,41.9786,-87.9048,"US",47.458056,8.548056,"CH",7139.060971,0.364193556
130,2020,"UA",9808,"business","ZRH","MIA",1,"USD",2900,47.458056,8.548056,"CH",25.79319954,-80.29060364,"US",7853.953864,0.369240774
131,2020,"",NA,"business","EZE","FRA",1,"USD",4400,-34.8222,-58.5358,"AR",50.033333,8.570556,"DE",11515.44284,0.382095596
132,2020,"A",37333,"business","CHQ","ATH",1,"USD",200,35.53170013,24.14970016,"GR",37.93640137,23.94449997,"GR",268.3151155,0.745392221
133,2020,"A",37336,"business","ATH","CHQ",1,"USD",200,37.93640137,23.94449997,"GR",35.53170013,24.14970016,"GR",268.3151155,0.745392221
134,2020,"EW",7764,"business","HAM","ZRH",3,"USD",300,53.630402,9.98823,"DE",47.458056,8.548056,"CH",694.5750018,0.431918798
135,2020,"EW",7765,"business","ZRH","HAM",1,"USD",300,47.458056,8.548056,"CH",53.630402,9.98823,"DE",694.5750018,0.431918798
137,2020,"LX",1050,"business","ZRH","HAM",1,"USD",300,47.458056,8.548056,"CH",53.630402,9.98823,"DE",694.5750018,0.431918798
138,2020,"LX",1052,"business","ZRH","HAM",1,"USD",300,47.458056,8.548056,"CH",53.630402,9.98823,"DE",694.5750018,0.431918798
139,2020,"LX",1053,"business","HAM","ZRH",1,"USD",300,53.630402,9.98823,"DE",47.458056,8.548056,"CH",694.5750018,0.431918798
140,2020,"LX",1054,"business","ZRH","HAM",1,"USD",300,47.458056,8.548056,"CH",53.630402,9.98823,"DE",694.5750018,0.431918798
141,2020,"LX",1583,"business","VIE","ZRH",1,"USD",300,48.110298,16.5697,"AT",47.458056,8.548056,"CH",604.1010393,0.496605668
